Timestamp,Email Address,Media Source URL,1-8 word Summary,(Annotated) Screenshot,Start Time,End Time,Keywords (comma separated),Comments,Meta Level Comment?,
4/8/2021 21:31:26,Anonymous 4,https://www.tictastic.com/my-story/,blog about personal experience by person with Tourette's,,,,"blog, tourettes, tics, treatment, experience","Wilamena writes about her journey in life with tics, starting from the first sign of Tourette's to her treatment experiences. She gives a very detailed description, including specific dates and ages. I think that this makes the experience seem more personal to the person reading this, as it solidifies the experience through actual numbers. This level of detail of her hardships touches my heart, especially since that this is the first time I've been able to read about the darker side of Tourette's instead of the comedic sides that I've seen go viral. The possible injuries and dangerous situations that she had gone through at such a young age made me realize the reality of this disability. In that sense, I think she did a great job educating the viewers through her personal journey. Additionally, she included more links within this page about her tics, struggles, methods/things that helped her, and general information about what Tourette's are. Her descriptions and explanations are easy to understand as a person who doesn't know much about Tourette's. I think that this very personal account of her life allowed me to empathize with her, even if I will never be able to fully understand. At the very least, I am now knowledgeable of what she and others experience. And it is through her personal experience I can more easily understand the disability itself. I also like how the blog name is ""TicTastic!"" because it creates a positive energy. Although with the trending videos of tics recently, I wonder if this might only support the recent comedic aspects of Tourette's. While the rising awareness could be a good thing, I think that new stereotypes might arise and undermine the struggles of Tourette's. But I think her intention was to create a bright and child-like logo to highlight that the blog is about her experience of growing up and pushing through with Tourette's and OCD.",,Tourettes 
4/9/2021 11:02:02,Anonymous 4,https://www.tictastic.com/my-story/,media coverage,,,,"tourettes, media, reaction",Seeing a new and darker side of her experience made me realize and remember that not all publicity/media coverages will correctly and fully represent a disability (or anything really).,Yes,Tourettes 
4/9/2021 11:56:59,Anonymous 4,https://www.tictastic.com/my-story/,reflection,,,,reflection,"I think that throughout this research, this blog contained the most detailed descriptions of what it is like to have Tourette’s. Other media that I have watched for close reading, they seemed to highlight the comedic aspects and create humorous light in (potentially dangerous) moments caused by tics. But through the detailed and informative tone of the blog, I was able to realize the extent to which the media, specifically the recent comedic ones, can influence the way that we see disabilities. I’ve previously thought that awareness was good, but I haven’t really considered how it might cover up parts of the reality of the disabilities. I think that it is through these selective publicity that incorrect assumptions and stereotypes are born. I think this kind of awareness is very informative and important, as it reminded me of the reality of this disability instead of what the media has consistently shown me. While I know that the other creators did not have bad intentions with their content, I just worry about how people will see Tourette’s in the long run.",Auto-ethnographic Reflection,Tourettes 
4/7/2021 18:31:20,Anonymous 4,https://youtu.be/DiFJryy_jiY,creator asks other people about Tourette's,,0:00:15,,"tourettes, reaction, educating","Creator asks if the players know that she has Tourette's and if they know what that is. I think that this was a good question to ask before the games. Aside from the fact that the intention of this question was because her tics can accidentally sabotage her, it also provides a moment of awareness of Tourette's as a disability and also an opportunity to educate others. But in this situation, other people knew what Tourette's were and the opportunity passed. But there was an awkward pause after the question was asked, and the players seemed hesitant to answer to the point where one of the players said ""anyone want to speak up?"". I wonder why they were hesitant to answer. Were they just rethinking about what Tourette's were?",,Tourettes 
4/7/2021 18:39:35,Anonymous 4,https://youtu.be/DiFJryy_jiY,montages of tics,,0:00:25,0:01:17,"tics, tourettes, editing",Montage of her tics throughout the game. So far there were not any that affected her game play and were mostly verbal.,,Tourettes 
4/7/2021 18:40:35,Anonymous 4,https://youtu.be/DiFJryy_jiY,killed off,,0:01:18,,gaming,"Oops, got killed off. She does not seem amused.",,Tourettes 
4/7/2021 18:46:39,Anonymous 4,https://youtu.be/DiFJryy_jiY,thanking her viewer (tic),,0:01:35,,"tics, tourettes, gaming","She thanks her viewer and then says ""what a twat"", but then immediately says that she doesn't mean it. Sometimes her tics can come off as her intentionally saying it because there may not be a change in tone or accent that some of tics usually have. I wonder if there would be a good way to help distinguish between what is intended and what is a tic so that people with Tourette's don't have to worry about saying unintentional things.",,Tourettes 
4/7/2021 18:51:20,Anonymous 4,https://youtu.be/DiFJryy_jiY,viewer warns about standing up,,0:01:51,,"gaming, reaction, sexualizing","One of her viewer warns her to not stand up anymore. Videos of her clips apparently has a lot of clips that focus on her backside (as she stand up from her chair). Frustrating to hear, this creator just wants to play games and sometimes has to stand up. Because of people sexualizing her, she has to be careful when she performs the simple act of getting up from her chair.",,Tourettes 
4/7/2021 18:52:21,Anonymous 4,https://youtu.be/DiFJryy_jiY,given up on deleting clips,,0:02:08,,"gaming, sexualizing",She implies that she already knew about this and says that she has given up deleting the clips..,,Tourettes 
4/7/2021 18:54:40,Anonymous 4,https://youtu.be/DiFJryy_jiY,mixed reaction about this problem,,0:02:26,,"gaming, sexualizing","Some players were confused, and others say that they get the same problem",,Tourettes 
